Débito;Crédito;grupo;subgrupo;Valor
191;;Despesas administrativas;INSS;-85,5
191;;Despesas administrativas;INSS;-30,36
191;;Custos;INSS;-31,5
;;Outras receitas/despesas;Compensações previdenciárias ;1207,0
192;;Despesas administrativas;FGTS;-91,2
192;;Despesas administrativas;FGTS;-32,38
192;;Custos;FGTS;-33,6
479;;Impostos sobre as vendas;Simples Nacional;-24804,49
356;;Despesas administrativas;Telefonia e internet;-119,65
369;;Receitas/despesas financeiras;Tarifas bancárias;-25,0
506;;Custos;Matéria-prima;-631,15
570;;Atividades de investimentos;Aquisição de imobilizado;-5250,0
357;;Despesas administrativas;Correios e malotes;-1209,75
467;;Custos;Terceirização de produção;-2892,4
;504;Receitas ;Vendas de próteses;2147,0
;432;Receitas/despesas financeiras;Rendimentos sobre aplicações financeiras;2,63
;1;-;-;7618,33
;504;Receitas ;Vendas de próteses;909,32
;504;Receitas ;Vendas de próteses;909,32
;504;Receitas ;Vendas de próteses;531,39
;504;Receitas ;Vendas de próteses;531,4
;504;Receitas ;Vendas de próteses;2355,5
713;;Despesas comerciais;Propaganda, marketing e publicidade;-801,07
506;;Custos;Matéria-prima;-551,84
506;;Custos;Matéria-prima;-781,0
;504;Receitas ;Vendas de próteses;875,89
;504;Receitas ;Vendas de próteses;875,89
;504;Receitas ;Vendas de próteses;875,89
;504;Receitas ;Vendas de próteses;875,9
;504;Receitas ;Vendas de próteses;1067,36
;504;Receitas ;Vendas de próteses;1067,41
;504;Receitas ;Vendas de próteses;1067,41
;504;Receitas ;Vendas de próteses;1067,41
;504;Receitas ;Vendas de próteses;1067,41
;504;Receitas ;Vendas de próteses;1067,41
1;;-;-;-19490,01
;504;Receitas ;Vendas de próteses;580,0
;432;Receitas/despesas financeiras;Rendimentos sobre aplicações financeiras;1,13
506;;Custos;Matéria-prima;-159,63
506;;Custos;Matéria-prima;-154,96
506;;Custos;Matéria-prima;-170,61
506;;Custos;Matéria-prima;-185,41
741;;Despesas administrativas;Aluguel de software;-52,19
;504;Receitas ;Vendas de próteses;20063,5
;504;Receitas ;Vendas de próteses;700,0
;504;Receitas ;Vendas de próteses;11623,39
;504;Receitas ;Vendas de próteses;1051,11
;504;Receitas ;Vendas de próteses;1051,11
;504;Receitas ;Vendas de próteses;1051,11
;504;Receitas ;Vendas de próteses;1051,11
;504;Receitas ;Vendas de próteses;1051,14
;504;Receitas ;Vendas de próteses;873,72
;504;Receitas ;Vendas de próteses;429,83
738;;Custos;Auxílio-transporte e combustível;-176,4
350;;Outras receitas/despesas;Taxas diversas;-1611,76
738;;Despesas administrativas;Auxílio-transporte e combustível;-529,2
738;;Despesas administrativas;Auxílio-transporte e combustível;-529,2
738;;Despesas administrativas;Auxílio-transporte e combustível;-529,2
738;;Custos;Auxílio-transporte e combustível;-331,8
738;;Custos;Auxílio-transporte e combustível;-331,8
738;;Custos;Auxílio-transporte e combustível;-600,0
738;;Custos;Auxílio-transporte e combustível;-197,4
738;;Custos;Auxílio-transporte e combustível;-852,6
738;;Custos;Auxílio-transporte e combustível;-361,2
738;;Custos;Auxílio-transporte e combustível;-300,0
738;;Custos;Auxílio-transporte e combustível;-360,0
738;;Despesas administrativas;Auxílio-transporte e combustível;-882,0
362;;Despesas administrativas;Serviços de terceiros;-3875,0
738;;Despesas administrativas;Auxílio-transporte e combustível;-529,2
738;;Despesas administrativas;Auxílio-transporte e combustível;-529,2
738;;Custos;Auxílio-transporte e combustível;-352,8
738;;Despesas administrativas;Auxílio-transporte e combustível;-529,2
;504;Receitas ;Vendas de próteses;5814,92
;504;Receitas ;Vendas de próteses;5814,93
;504;Receitas ;Vendas de próteses;563,75
;504;Receitas ;Vendas de próteses;563,76
;504;Receitas ;Vendas de próteses;570,64
;504;Receitas ;Vendas de próteses;570,66
;504;Receitas ;Vendas de próteses;570,66
;504;Receitas ;Vendas de próteses;570,66
;504;Receitas ;Vendas de próteses;1066,52
;504;Receitas ;Vendas de próteses;1066,53
;504;Receitas ;Vendas de próteses;1066,53
;504;Receitas ;Vendas de próteses;1066,53
;504;Receitas ;Vendas de próteses;1066,53
;504;Receitas ;Vendas de próteses;1066,53
;504;Receitas ;Vendas de próteses;774,41
;504;Receitas ;Vendas de próteses;774,41
;504;Receitas ;Vendas de próteses;774,41
;504;Receitas ;Vendas de próteses;774,41
369;;Receitas/despesas financeiras;Tarifas bancárias;-25,44
;504;Receitas ;Vendas de próteses;1000,0
187;;Custos;Salários e ordenados;-350,0
;504;Receitas ;Vendas de próteses;132,7
;504;Receitas ;Vendas de próteses;330,0
;504;Receitas ;Vendas de próteses;3000,0
;504;Receitas ;Vendas de próteses;755,0
;504;Receitas ;Vendas de próteses;560,0
;1;-;-;1496,7
570;;Atividades de investimentos;Aquisição de imobilizado;-2499,67
506;;Custos;Matéria-prima;-421,98
506;;Custos;Matéria-prima;-954,12
506;;Custos;Matéria-prima;-531,26
570;;Atividades de investimentos;Aquisição de imobilizado;-5115,72
506;;Custos;Matéria-prima;-1318,5
506;;Custos;Matéria-prima;-7157,1
362;;Despesas administrativas;Serviços de terceiros;-525,0
506;;Custos;Matéria-prima;-832,0
;432;Receitas/despesas financeiras;Rendimentos sobre aplicações financeiras;2,28
;1;-;-;600,01
506;;Custos;Matéria-prima;-1181,32
;504;Receitas ;Vendas de próteses;1274,14
;504;Receitas ;Vendas de próteses;1000,0
;504;Receitas ;Vendas de próteses;1178,26
739;;Custos;Aluguel de máquinas e equipamentos;-3200,0
506;;Custos;Matéria-prima;-366,14
362;;Despesas administrativas;Serviços de terceiros;-844,41
;504;Receitas ;Vendas de próteses;5126,84
;504;Receitas ;Vendas de próteses;12696,61
;504;Receitas ;Vendas de próteses;638,0
550;;Atividades de financiamentos;Pagamento de dívida tributária parcelada;-921,35
550;;Atividades de financiamentos;Pagamento de dívida tributária parcelada;-5797,93
737;;Custos;Auxílio-alimentação e refeição;-350,0
737;;Custos;Auxílio-alimentação e refeição;-350,0
737;;Despesas administrativas;Auxílio-alimentação e refeição;-350,0
737;;Despesas administrativas;Auxílio-alimentação e refeição;-350,0
737;;Despesas administrativas;Auxílio-alimentação e refeição;-350,0
737;;Custos;Auxílio-alimentação e refeição;-350,0
737;;Despesas administrativas;Auxílio-alimentação e refeição;-350,0
737;;Despesas administrativas;Auxílio-alimentação e refeição;-350,0
737;;Custos;Auxílio-alimentação e refeição;-350,0
737;;Despesas administrativas;Auxílio-alimentação e refeição;-350,0
737;;Despesas administrativas;Auxílio-alimentação e refeição;-350,0
737;;Custos;Auxílio-alimentação e refeição;-350,0
;504;Receitas ;Vendas de próteses;5207,86
;504;Receitas ;Vendas de próteses;1310,85
;433;Receitas/despesas financeiras;Juros recebidos;29,7
;504;Receitas ;Vendas de próteses;1108,0
;432;Receitas/despesas financeiras;Rendimentos sobre aplicações financeiras;0,41
737;;Custos;Auxílio-alimentação e refeição;-350,0
362;;Despesas administrativas;Serviços de terceiros;-2500,0
;432;Receitas/despesas financeiras;Rendimentos sobre aplicações financeiras;0,15
;504;Receitas ;Vendas de próteses;1276,0
187;;Custos;Salários e ordenados;-1538,77
187;;Custos;Salários e ordenados;-1538,77
187;;Custos;Salários e ordenados;-1660,77
187;;Custos;Salários e ordenados;-1701,72
152;;Atividades de financiamentos;Pagamento de empréstimo bancário (principal);-6668,94
506;;Custos;Matéria-prima;-603,92
187;;Despesas administrativas;Salários e ordenados;-1797,27
187;;Custos;Salários e ordenados;-1538,77
187;;Despesas administrativas;Salários e ordenados;-1766,72
187;;Despesas administrativas;Salários e ordenados;-1701,72
187;;Despesas administrativas;Salários e ordenados;-1576,72
187;;Custos;Salários e ordenados;-1797,27
187;;Custos;Salários e ordenados;-1538,77
187;;Despesas comerciais;Salários e ordenados;-2110,54
506;;Custos;Matéria-prima;-598,67
506;;Custos;Matéria-prima;-627,97
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,45
;504;Receitas ;Vendas de próteses;1432,45
;504;Receitas ;Vendas de próteses;1463,13
;504;Receitas ;Vendas de próteses;2147,0
;504;Receitas ;Vendas de próteses;1741,5
;504;Receitas ;Vendas de próteses;5020,0
;504;Receitas ;Vendas de próteses;563,62
;504;Receitas ;Vendas de próteses;5847,3
188;;Custos;Pró-labores;-1780,0
188;;Despesas administrativas;Pró-labores;-1780,0
358;;Despesas administrativas;Seguros;-290,53
548;;Atividades de financiamentos;Antecipação de lucros ou dividendos;-28220,0
548;;Atividades de financiamentos;Antecipação de lucros ou dividendos;-28220,0
187;;Despesas comerciais;Salários e ordenados;-2511,9
737;;Despesas comerciais;Auxílio-alimentação e refeição;-318,0
738;;Despesas comerciais;Auxílio-transporte e combustível;-945,0
737;;Despesas comerciais;Auxílio-alimentação e refeição;-396,0
738;;Despesas comerciais;Auxílio-transporte e combustível;-990,0
187;;Despesas administrativas;Salários e ordenados;-1469,15
354;;Despesas administrativas;Energia elétrica;-1676,65
782;;Despesas administrativas;Premiações;-152,73
782;;Custos;Premiações;-338,28
782;;Despesas administrativas;Premiações;-500,0
187;;Custos;Salários e ordenados;-1538,77
782;;Custos;Premiações;-2992,16
782;;Custos;Premiações;-11971,23
782;;Custos;Premiações;-1339,23
782;;Custos;Premiações;-13881,23
782;;Custos;Premiações;-14691,23
356;;Despesas administrativas;Telefonia e internet;-238,02
187;;Despesas administrativas;Salários e ordenados;-1569,77
187;;Despesas administrativas;Salários e ordenados;-1634,77
;;Despesas comerciais;Pensão alimentícia;-241,36
782;;Despesas administrativas;Premiações;-130,23
362;;Despesas administrativas;Serviços de terceiros;-6300,0
173;;Impostos sobre as vendas;ISS;-7577,78
187;;Despesas administrativas;Salários e ordenados;-1660,77
187;;Custos;Salários e ordenados;-1535,77
187;;Despesas administrativas;Salários e ordenados;-1404,15
782;;Custos;Premiações;-2268,0
740;;Custos;Aluguel de imóvel;-3032,88
740;;Despesas administrativas;Aluguel de imóvel;-4549,31
740;;Custos;Aluguel de imóvel;-3991,45
740;;Despesas administrativas;Aluguel de imóvel;-5987,18
;504;Receitas ;Vendas de próteses;521,39
;504;Receitas ;Vendas de próteses;1372,39
187;;Custos;Salários e ordenados;-157,25
;504;Receitas ;Vendas de próteses;4500,0
782;;Despesas comerciais;Premiações;-154,83
782;;Despesas comerciais;Premiações;-154,83
705;;Despesas comerciais;Deslocamentos;-65,1
782;;Despesas administrativas;Premiações;-113,85
782;;Despesas administrativas;Premiações;-139,23
782;;Despesas administrativas;Premiações;-130,23
782;;Custos;Premiações;-139,23
782;;Custos;Premiações;-139,23
;504;Receitas ;Vendas de próteses;3167,0
;504;Receitas ;Vendas de próteses;223,03
;504;Receitas ;Vendas de próteses;3788,65
;432;Receitas/despesas financeiras;Rendimentos sobre aplicações financeiras;11,07
369;;Receitas/despesas financeiras;Tarifas bancárias;-4,24
;504;Receitas ;Vendas de próteses;2000,0
187;;Custos;Salários e ordenados;-6932,0
506;;Custos;Matéria-prima;-258,9
;504;Receitas ;Vendas de próteses;506,87
;504;Receitas ;Vendas de próteses;506,88
;432;Receitas/despesas financeiras;Rendimentos sobre aplicações financeiras;0,17
;504;Receitas ;Vendas de próteses;350,0
506;;Custos;Matéria-prima;-399,87
;504;Receitas ;Vendas de próteses;1784,11
;504;Receitas ;Vendas de próteses;1784,11
;504;Receitas ;Vendas de próteses;2265,9
;504;Receitas ;Vendas de próteses;2265,9
;504;Receitas ;Vendas de próteses;2265,9
;504;Receitas ;Vendas de próteses;2265,9
;504;Receitas ;Vendas de próteses;2265,9
;504;Receitas ;Vendas de próteses;2265,9
;504;Receitas ;Vendas de próteses;990,26
;504;Receitas ;Vendas de próteses;990,26
;504;Receitas ;Vendas de próteses;990,26
;504;Receitas ;Vendas de próteses;990,28
;504;Receitas ;Vendas de próteses;1509,88
;504;Receitas ;Vendas de próteses;1509,89
;504;Receitas ;Vendas de próteses;1509,89
;504;Receitas ;Vendas de próteses;12235,49
;504;Receitas ;Vendas de próteses;12235,49
;504;Receitas ;Vendas de próteses;2398,0
;504;Receitas ;Vendas de próteses;2398,0
;504;Receitas ;Vendas de próteses;537,54
;504;Receitas ;Vendas de próteses;537,55
506;;Custos;Matéria-prima;-223,0
187;;Custos;Salários e ordenados;-350,0
187;;Custos;Salários e ordenados;-35,0
570;;Atividades de investimentos;Aquisição de imobilizado;-5549,93
699;;Custos;Assistência médica e social;-15,9
699;;Despesas administrativas;Assistência médica e social;-15,9
699;;Custos;Assistência médica e social;-15,9
699;;Despesas administrativas;Assistência médica e social;-15,9
699;;Custos;Assistência médica e social;-15,9
699;;Custos;Assistência médica e social;-15,9
699;;Despesas administrativas;Assistência médica e social;-15,9
699;;Despesas administrativas;Assistência médica e social;-15,9
699;;Despesas administrativas;Assistência médica e social;-15,9
699;;Custos;Assistência médica e social;-15,9
699;;Custos;Assistência médica e social;-15,9
699;;Despesas comerciais;Assistência médica e social;-15,9
699;;Despesas administrativas;Assistência médica e social;-15,9
699;;Despesas comerciais;Assistência médica e social;-15,9
699;;Custos;Assistência médica e social;-15,9
699;;Custos;Assistência médica e social;-15,9
699;;Despesas administrativas;Assistência médica e social;-15,9
506;;Custos;Matéria-prima;-377,48
506;;Custos;Matéria-prima;-460,82
699;;Despesas administrativas;Assistência médica e social;-15,9
506;;Custos;Matéria-prima;-770,0
732;;Custos;Outros custos;-2430,0
699;;Despesas administrativas;Assistência médica e social;-15,9
699;;Despesas administrativas;Assistência médica e social;-15,9
;504;Receitas ;Vendas de próteses;3195,0
;504;Receitas ;Vendas de próteses;580,0
;432;Receitas/despesas financeiras;Rendimentos sobre aplicações financeiras;0,25
;504;Receitas ;Vendas de próteses;10728,0
506;;Custos;Matéria-prima;-360,84
;504;Receitas ;Vendas de próteses;1111,23
;504;Receitas ;Vendas de próteses;1111,24
;504;Receitas ;Vendas de próteses;3500,0
1;;-;-;-6500,0
;504;Receitas ;Vendas de próteses;2500,0
;432;Receitas/despesas financeiras;Rendimentos sobre aplicações financeiras;0,19
356;;Despesas administrativas;Telefonia e internet;-365,69
362;;Despesas administrativas;Serviços de terceiros;-600,0
;;Despesas administrativas;Causas Trabalhistas;-500,0
1;;-;-;-25,0
;504;Receitas ;Vendas de próteses;1103,8
;504;Receitas ;Vendas de próteses;954,99
;504;Receitas ;Vendas de próteses;954,99
;504;Receitas ;Vendas de próteses;954,99
570;;Atividades de investimentos;Aquisição de imobilizado;-1670,0
356;;Despesas administrativas;Telefonia e internet;-314,92
354;;Despesas administrativas;Energia elétrica;-1799,81
506;;Custos;Matéria-prima;-631,15
703;;Despesas administrativas;Planos de saúde e odontológico;-699,47
703;;Despesas administrativas;Planos de saúde e odontológico;-417,82
703;;Custos;Planos de saúde e odontológico;-699,47
703;;Custos;Planos de saúde e odontológico;-1046,58
703;;Despesas administrativas;Planos de saúde e odontológico;-746,55
703;;Despesas administrativas;Planos de saúde e odontológico;-417,82
350;;Outras receitas/despesas;Taxas diversas;-95,86
506;;Custos;Matéria-prima;-290,0
506;;Custos;Matéria-prima;-450,0
;432;Receitas/despesas financeiras;Rendimentos sobre aplicações financeiras;0,63
;504;Receitas ;Vendas de próteses;1438,99
;504;Receitas ;Vendas de próteses;1439,0
;504;Receitas ;Vendas de próteses;1439,0
;504;Receitas ;Vendas de próteses;1439,0
;504;Receitas ;Vendas de próteses;1439,0
;504;Receitas ;Vendas de próteses;3800,0
;504;Receitas ;Vendas de próteses;3233,8
479;;Impostos sobre as vendas;Simples Nacional;-24323,54
192;;Custos;FGTS;-133,27
192;;Custos;FGTS;-133,27
192;;Despesas administrativas;FGTS;-156,0
192;;Custos;FGTS;-133,27
192;;Despesas administrativas;FGTS;-147,6
192;;Despesas administrativas;FGTS;-147,6
192;;Despesas administrativas;FGTS;-147,6
192;;Custos;FGTS;-156,0
192;;Custos;FGTS;-133,27
192;;Despesas comerciais;FGTS;-157,87
192;;Custos;FGTS;-133,27
192;;Custos;FGTS;-144,0
192;;Despesas administrativas;FGTS;-121,44
192;;Despesas comerciais;FGTS;-157,87
192;;Custos;FGTS;-147,6
369;;Receitas/despesas financeiras;Tarifas bancárias;-25,0
570;;Atividades de investimentos;Aquisição de imobilizado;-5250,0
192;;Despesas administrativas;FGTS;-136,0
192;;Despesas administrativas;FGTS;-136,0
192;;Despesas administrativas;FGTS;-144,0
192;;Despesas administrativas;FGTS;-121,44
192;;Custos;FGTS;-144,0
467;;Custos;Terceirização de produção;-3133,6
;432;Receitas/despesas financeiras;Rendimentos sobre aplicações financeiras;1,67
192;;Custos;FGTS;-13,6
;1;-;-;3130,97
356;;Despesas administrativas;Telefonia e internet;-119,65
357;;Despesas administrativas;Correios e malotes;-1010,78
;504;Receitas ;Vendas de próteses;2041,55
;504;Receitas ;Vendas de próteses;2041,55
;504;Receitas ;Vendas de próteses;2041,55
;504;Receitas ;Vendas de próteses;2041,55
;504;Receitas ;Vendas de próteses;2041,55
;504;Receitas ;Vendas de próteses;2041,55
187;;Despesas administrativas;Salários e ordenados;-1766,72
;504;Receitas ;Vendas de próteses;580,0
;504;Receitas ;Vendas de próteses;1280,0
;504;Receitas ;Vendas de próteses;2822,0
506;;Custos;Matéria-prima;-208,4
;504;Receitas ;Vendas de próteses;3073,9
;504;Receitas ;Vendas de próteses;3073,9
;504;Receitas ;Vendas de próteses;3073,91
;504;Receitas ;Vendas de próteses;1711,56
;504;Receitas ;Vendas de próteses;1711,58
;504;Receitas ;Vendas de próteses;1711,58
;504;Receitas ;Vendas de próteses;1711,58
;504;Receitas ;Vendas de próteses;1711,58
;504;Receitas ;Vendas de próteses;1711,58
;504;Receitas ;Vendas de próteses;986,37
;504;Receitas ;Vendas de próteses;986,37
;504;Receitas ;Vendas de próteses;986,37
;504;Receitas ;Vendas de próteses;986,37
;504;Receitas ;Vendas de próteses;986,37
;504;Receitas ;Vendas de próteses;986,37
;504;Receitas ;Vendas de próteses;1006,51
;504;Receitas ;Vendas de próteses;1006,51
;504;Receitas ;Vendas de próteses;1006,51
;504;Receitas ;Vendas de próteses;1006,51
;504;Receitas ;Vendas de próteses;1006,51
;504;Receitas ;Vendas de próteses;1006,51
;504;Receitas ;Vendas de próteses;1006,56
;504;Receitas ;Vendas de próteses;698,25
;504;Receitas ;Vendas de próteses;2688,55
;1;-;-;806,87
738;;Despesas administrativas;Auxílio-transporte e combustível;-554,4
738;;Despesas administrativas;Auxílio-transporte e combustível;-554,4
738;;Despesas administrativas;Auxílio-transporte e combustível;-554,4
738;;Custos;Auxílio-transporte e combustível;-347,6
713;;Despesas comerciais;Propaganda, marketing e publicidade;-801,07
506;;Custos;Matéria-prima;-159,63
738;;Custos;Auxílio-transporte e combustível;-347,6
738;;Custos;Auxílio-transporte e combustível;-893,2
506;;Custos;Matéria-prima;-154,96
506;;Custos;Matéria-prima;-170,61
506;;Custos;Matéria-prima;-185,41
506;;Custos;Matéria-prima;-531,26
741;;Despesas administrativas;Aluguel de software;-52,19
362;;Despesas administrativas;Serviços de terceiros;-3875,0
738;;Despesas administrativas;Auxílio-transporte e combustível;-554,4
506;;Custos;Matéria-prima;-627,97
738;;Despesas administrativas;Auxílio-transporte e combustível;-554,4
738;;Custos;Auxílio-transporte e combustível;-554,4
738;;Despesas administrativas;Auxílio-transporte e combustível;-554,4
506;;Custos;Matéria-prima;-551,84
506;;Custos;Matéria-prima;-832,0
;504;Receitas ;Vendas de próteses;1211,95
;504;Receitas ;Vendas de próteses;1211,95
;504;Receitas ;Vendas de próteses;1032,02
;504;Receitas ;Vendas de próteses;1032,02
;504;Receitas ;Vendas de próteses;1032,02
;504;Receitas ;Vendas de próteses;1032,02
;504;Receitas ;Vendas de próteses;1032,02
;504;Receitas ;Vendas de próteses;1032,02
;504;Receitas ;Vendas de próteses;617,72
;504;Receitas ;Vendas de próteses;617,73
;504;Receitas ;Vendas de próteses;3246,12
;504;Receitas ;Vendas de próteses;3246,12
;504;Receitas ;Vendas de próteses;3246,12
;504;Receitas ;Vendas de próteses;3246,12
;504;Receitas ;Vendas de próteses;3246,12
;504;Receitas ;Vendas de próteses;3246,12
;504;Receitas ;Vendas de próteses;973,5
1;;-;-;-14746,38
;504;Receitas ;Vendas de próteses;1751,5
;504;Receitas ;Vendas de próteses;3737,54
;504;Receitas ;Vendas de próteses;2263,4
;1;-;-;430,13
738;;Custos;Auxílio-transporte e combustível;-600,0
738;;Custos;Auxílio-transporte e combustível;-206,8
738;;Custos;Auxílio-transporte e combustível;-378,4
738;;Custos;Auxílio-transporte e combustível;-300,0
738;;Custos;Auxílio-transporte e combustível;-360,0
570;;Atividades de investimentos;Aquisição de imobilizado;-5115,73
506;;Custos;Matéria-prima;-7157,12
738;;Custos;Auxílio-transporte e combustível;-554,4
;504;Receitas ;Vendas de próteses;1107,84
;504;Receitas ;Vendas de próteses;1107,84
;504;Receitas ;Vendas de próteses;829,85
;504;Receitas ;Vendas de próteses;829,88
;504;Receitas ;Vendas de próteses;829,88
;504;Receitas ;Vendas de próteses;829,88
;504;Receitas ;Vendas de próteses;829,88
369;;Receitas/despesas financeiras;Tarifas bancárias;-25,44
;504;Receitas ;Vendas de próteses;4566,95
;504;Receitas ;Vendas de próteses;10000,0
;504;Receitas ;Vendas de próteses;1500,0
570;;Atividades de investimentos;Aquisição de imobilizado;-2499,67
506;;Custos;Matéria-prima;-1318,5
362;;Despesas administrativas;Serviços de terceiros;-525,0
;504;Receitas ;Vendas de próteses;1140,61
;504;Receitas ;Vendas de próteses;1140,61
;504;Receitas ;Vendas de próteses;1140,61
;504;Receitas ;Vendas de próteses;1140,61
;504;Receitas ;Vendas de próteses;1140,61
;504;Receitas ;Vendas de próteses;1140,62
;504;Receitas ;Vendas de próteses;600,0
;504;Receitas ;Vendas de próteses;1158,65
;504;Receitas ;Vendas de próteses;1158,65
;504;Receitas ;Vendas de próteses;1158,66
187;;Custos;Salários e ordenados;-386,36
707;;Custos;CRO;-229,51
187;;Custos;Salários e ordenados;-650,0
;504;Receitas ;Vendas de próteses;580,0
;504;Receitas ;Vendas de próteses;1000,0
;504;Receitas ;Vendas de próteses;4680,0
;504;Receitas ;Vendas de próteses;11935,99
;504;Receitas ;Vendas de próteses;1249,36
;504;Receitas ;Vendas de próteses;1249,36
;504;Receitas ;Vendas de próteses;896,13
;504;Receitas ;Vendas de próteses;896,14
;504;Receitas ;Vendas de próteses;1000,0
;1;-;-;3480,41
550;;Atividades de financiamentos;Pagamento de dívida tributária parcelada;-929,57
550;;Atividades de financiamentos;Pagamento de dívida tributária parcelada;-5863,88
737;;Custos;Auxílio-alimentação e refeição;-350,0
737;;Custos;Auxílio-alimentação e refeição;-350,0
506;;Custos;Matéria-prima;-366,14
506;;Custos;Matéria-prima;-1181,32
737;;Despesas administrativas;Auxílio-alimentação e refeição;-350,0
737;;Despesas administrativas;Auxílio-alimentação e refeição;-350,0
737;;Custos;Auxílio-alimentação e refeição;-350,0
737;;Despesas administrativas;Auxílio-alimentação e refeição;-350,0
737;;Despesas administrativas;Auxílio-alimentação e refeição;-350,0
737;;Custos;Auxílio-alimentação e refeição;-350,0
737;;Despesas administrativas;Auxílio-alimentação e refeição;-350,0
737;;Despesas administrativas;Auxílio-alimentação e refeição;-350,0
737;;Custos;Auxílio-alimentação e refeição;-350,0
187;;Despesas administrativas;Rescisões;-5402,44
192;;Despesas administrativas;FGTS;-832,0
737;;Custos;Auxílio-alimentação e refeição;-350,0
;504;Receitas ;Vendas de próteses;2000,0
;504;Receitas ;Vendas de próteses;3342,0
;504;Receitas ;Vendas de próteses;11935,99
;504;Receitas ;Vendas de próteses;95,32
;504;Receitas ;Vendas de próteses;466,91
